instrument_key,exchange_token,tradingsymbol,name,last_price,lot_size,exchange
BSE_EQ|INE092E01011,521054,KAKTEX,KAKATIYA TEXTILES LTD.,23.29,1.0,BSE_EQ
BSE_EQ|INE376L01013,514028,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,57.49,1.0,BSE_EQ
BSE_EQ|INE310A01015,523385,NILKAMAL,NILKAMAL LTD.,1906.25,1.0,BSE_EQ
NSE_EQ|INE869I01013,21195,GTPL,GTPL HATHWAY LIMITED,135.74,1.0,NSE_EQ
BSE_EQ|INE124B01018,523100,COSMOFE,COSMO FERRITES LTD.,296.1,1.0,BSE_EQ
BSE_EQ|INE533C01018,530235,KJMCFIN,KJMC FINANCIAL SERVICES LTD.,119.95,1.0,BSE_EQ
NSE_EQ|INE0MJQ01012,12986,PRITIKA,PRITIKA ENG COMPO LTD,203.0,1000.0,NSE_EQ
BSE_EQ|INE347D01011,502250,LERTHAI,LERTHAI FINANCE LIMITED,445.1,1.0,BSE_EQ
NSE_EQ|INE399C01030,11689,SUPRAJIT,SUPRAJIT ENGINEERING LTD,463.3,1.0,NSE_EQ
BSE_EQ|INE0KGZ01021,544117,SIGNPOST,Signpost India Limited,365.45,1.0,BSE_EQ
NSE_EQ|INE0LLY01014,27213,EIEL,ENVIRO INFRA ENGINEERS L,327.37,1.0,NSE_EQ
NSE_EQ|INE0J1E01027,10296,KCK,KCK INDUSTRIES LTD,64.2,2500.0,NSE_EQ
BSE_EQ|INE868C01018,522273,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,253.9,1.0,BSE_EQ
NSE_EQ|INE176A01028,371,BATAINDIA,BATA INDIA LTD,1350.45,1.0,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,10896.0,1.0,NSE_EQ
BSE_EQ|INE0AE001013,543974,VPRPL,VISHNU PRAKASH R PUNGLIA LIMIT,290.85,1.0,BSE_EQ
BSE_EQ|INE474Q01031,543654,MEDANTA,Global Health Limited,1107.8,1.0,BSE_EQ
BSE_EQ|INE0QXT01018,544170,SAI,Sai Swami Metals and Alloys Li,47.0,2000.0,BSE_EQ
NSE_EQ|INE319B01014,7930,BYKE,THE BYKE HOSPITALITY LTD,94.02,1.0,NSE_EQ
BSE_EQ|INE416A01044,530943,SABTNL,SRI ADHIKARI BROTHERS TELEVISI,1760.0,1.0,BSE_EQ
BSE_EQ|IN9397D01014,890157,AIRTELPP,Bharti Airtel  Ltd.,1182.55,1.0,BSE_EQ
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,217.07,1.0,NSE_EQ
BSE_EQ|INE838Z01012,541444,PALMJEWELS,Palm Jewels Limited,26.74,1.0,BSE_EQ
BSE_EQ|INE456N01019,534691,COMCL,COMFORT COMMOTRADE LTD.,48.79,1.0,BSE_EQ
BSE_EQ|INE639C01013,530111,RAJPACK,RAJ PACKAGING INDUSTRIES LTD.,29.6,1.0,BSE_EQ
NSE_EQ|INE064C01022,9685,TRIDENT,TRIDENT LIMITED,33.34,1.0,NSE_EQ
NSE_EQ|INE912H01013,18029,MBLINFRA,MBL INFRASTRUCTURE LTD,61.73,1.0,NSE_EQ
NSE_EQ|INE763I01026,15178,TARIL,TRANS & RECTI. LTD,1070.2,1.0,NSE_EQ
BSE_EQ|INE278G01037,532640,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,24.14,1.0,BSE_EQ
BSE_EQ|INE766P01016,540768,MAHLOG,Mahindra Logistics Limited,379.7,1.0,BSE_EQ
BSE_EQ|INE427F01016,542399,CHALET,Chalet Hotels Limited,975.85,1.0,BSE_EQ
BSE_EQ|INE018E01016,543066,SBICARD,SBI CARDS AND PAYMENT SERVICES,679.45,1.0,BSE_EQ
BSE_EQ|INE384D01022,516096,SANPA,SANGAL PAPERS LTD.,282.45,1.0,BSE_EQ
BSE_EQ|INE400N01017,530797,SHGANEL,SHREE GANESH ELASTOPLAST LTD.,29.04,1.0,BSE_EQ
BSE_EQ|INE608A01012,533295,PSB,PUNJAB & SIND BANK,47.98,1.0,BSE_EQ
NSE_EQ|INE314T01025,14480,GOKULAGRO,GOKUL AGRO RESOURCES LTD,330.65,1.0,NSE_EQ
NSE_EQ|INE285K01026,6445,TECHNOE,TECHNO ELEC & ENG CO. LTD,1562.0,1.0,NSE_EQ
NSE_EQ|INE256C01024,13081,TRIVENI,TRIVENI ENGG. & INDS. LTD,493.3,1.0,NSE_EQ
BSE_EQ|INE977M01024,537839,PHOENIXTN,PHOENIX TOWNSHIP LTD,298.95,1.0,BSE_EQ
NSE_EQ|INE0TO501019,25708,HVAX,HVAX TECHNOLOGIES LIMITED,703.45,300.0,NSE_EQ
NSE_EQ|INE992I01013,9305,STARTECK,STARTECK FINANCE LIMITED,286.2,1.0,NSE_EQ
BSE_EQ|INE031A07AT4,935674,769HUDCO31,HUDCO-7.69%-15-3-31-TAXFREENCD,1105.85,1.0,BSE_EQ
BSE_EQ|INE737H01014,532768,FIEMIND,FIEM INDUSTRIES LTD.,1503.95,1.0,BSE_EQ
BSE_EQ|INE666Q01016,540204,EIKO,EIKO LIFESCIENCES LIMITED,62.57,1.0,BSE_EQ
BSE_EQ|INE074B01023,530555,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.,83.76,1.0,BSE_EQ
BSE_EQ|INE402H01015,526981,SHBAJRG,SHRI BAJRANG ALLIANCE LIMITED,218.9,1.0,BSE_EQ
NSE_EQ|INE0VZS01015,25860,LAKSHYA,LAKSHYA POWERTECH LIMITED,320.1,800.0,NSE_EQ
NSE_EQ|INE395U01014,14194,NINSYS,NINTEC SYSTEMS LIMITED,546.2,1.0,NSE_EQ
BSE_EQ|INE401H01017,532732,KKCL,KEWAL KIRAN CLOTHING LTD.,602.15,1.0,BSE_EQ
NSE_EQ|INE970X01018,2606,LEMONTREE,LEMON TREE HOTELS LTD,149.72,1.0,NSE_EQ
NSE_EQ|INE0Q9601016,19632,WOMANCART,WOMANCART LIMITED,333.8,400.0,NSE_EQ
NSE_EQ|INE0V9N01017,24511,PRIZOR,PRIZOR VIZTECH LIMITED,184.4,800.0,NSE_EQ
NSE_EQ|INE274F01020,11580,WESTLIFE,WESTLIFE FOODWORLD LTD,819.9,1.0,NSE_EQ
BSE_EQ|INE834M01019,534597,RTNINDIA,RATTANINDIA ENTERPRISES LIMITE,63.66,1.0,BSE_EQ
BSE_EQ|INE06LG01010,542654,VRFILMS,V R FILMS & STUDIOS LIMITED,27.77,1.0,BSE_EQ
NSE_EQ|INE844K01012,20196,BEDMUTHA,BEDMUTHA INDUST LTD,196.82,1.0,NSE_EQ
BSE_EQ|INE224A01026,501455,GREAVESCOT,GREAVES COTTON LTD.,234.9,1.0,BSE_EQ
BSE_EQ|INE609A01010,500346,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.,55.9,1.0,BSE_EQ
NSE_EQ|INE947Q01028,19234,LAURUSLABS,LAURUS LABS LIMITED,570.6,1.0,NSE_EQ
